epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3784,1.31245,3.94079,1.30353,0.10151,0.14946,0.07957,0.06757,0.8797,3.80046,1.05974,0.0706977,0.00325581,0.00325581
2,164.121,1.05171,2.16621,1.14612,0.02329,0.49457,0.09643,0.07678,0.8325,3.69973,1.03097,0.0406542,0.00654566,0.00654566
3,263.776,1.07385,1.6992,1.12281,0.01363,0.41033,0.04062,0.01985,0.91037,4.04626,1.05769,0.0105667,0.0097915,0.0097915
4,362.688,0.98608,1.589,1.07955,0.01955,0.66712,0.04002,0.02796,0.90828,5.14598,1.08202,0.009802,0.009802,0.009802
5,459.081,0.93491,1.39708,1.05324,0.01147,0.59239,0.02265,0.01562,0.9786,4.8901,1.09337,0.009736,0.009736,0.009736
6,556.357,0.97046,1.25103,1.05282,0.01234,0.6087,0.0264,0.01459,0.94559,4.77836,1.06717,0.00967,0.00967,0.00967
7,655.249,0.91284,1.1435,1.03656,0.01117,0.5625,0.02646,0.01928,0.86065,4.89676,1.03455,0.009604,0.009604,0.009604
8,753.319,0.8981,1.04028,1.03345,0.01151,0.5462,0.03241,0.02367,0.87327,4.91676,1.01594,0.009538,0.009538,0.009538
9,851.509,0.89317,0.96224,1.02245,0.01009,0.54348,0.02382,0.01421,0.85518,5.66285,1.01189,0.009472,0.009472,0.009472
10,949.122,0.84464,0.90247,0.99822,0.00909,0.52174,0.02749,0.01697,0.87696,5.44247,1.00519,0.009406,0.009406,0.009406
11,1047,0.84315,0.91929,1.01464,0.01043,0.61957,0.02057,0.01302,0.83447,5.77619,1.01215,0.00934,0.00934,0.00934
12,1097.86,0.81949,0.82449,0.99058,0.00862,0.41033,0.0127,0.00927,0.8076,5.50848,0.99139,0.009274,0.009274,0.009274
13,1147.9,0.8205,0.77354,0.97783,0.01261,0.37772,0.01166,0.00828,0.76586,5.16105,0.97444,0.009208,0.009208,0.009208
14,1197.68,0.78805,0.76993,0.97104,0.01375,0.34511,0.01509,0.01194,0.82476,5.49462,0.97068,0.009142,0.009142,0.009142
15,1247.67,0.77383,0.73954,0.97852,0.01175,0.19565,0.00805,0.00511,0.76781,5.60094,0.95973,0.009076,0.009076,0.009076
16,1298.88,0.77372,0.69614,0.96896,0.01436,0.27446,0.01051,0.00741,0.75463,5.7354,0.96362,0.00901,0.00901,0.00901
17,1349.73,0.75508,0.67077,0.9685,0.01387,0.26359,0.01263,0.01005,0.73666,5.36738,0.94247,0.008944,0.008944,0.008944
18,1400.65,0.77735,0.6532,0.96754,0.01875,0.3125,0.02198,0.01804,0.76595,5.48842,0.94033,0.008878,0.008878,0.008878
19,1451.6,0.74391,0.61751,0.94793,0.0232,0.30163,0.02954,0.02561,0.741,5.41091,0.92725,0.008812,0.008812,0.008812
20,1501.96,0.74667,0.61261,0.96729,0.01379,0.19837,0.01572,0.01363,0.77589,5.87633,0.93365,0.008746,0.008746,0.008746
21,1552.16,0.75374,0.60501,0.95934,0.01553,0.22826,0.01695,0.01412,0.71761,5.94615,0.9229,0.00868,0.00868,0.00868
22,1602.34,0.7273,0.59243,0.95066,0.02592,0.27446,0.03646,0.03125,0.71716,5.9506,0.91661,0.008614,0.008614,0.008614
23,1654.91,0.73601,0.58555,0.94344,0.01821,0.23913,0.01951,0.01702,0.72101,5.66891,0.91059,0.008548,0.008548,0.008548
24,1705.16,0.72343,0.56487,0.95278,0.02644,0.2337,0.02617,0.02258,0.7088,5.60201,0.91681,0.008482,0.008482,0.008482
25,1755.75,0.70715,0.54716,0.94746,0.02154,0.21467,0.02218,0.01888,0.7734,5.94116,0.92362,0.008416,0.008416,0.008416
26,1838.58,0.71477,0.55589,0.92956,0.01326,0.17935,0.01114,0.00956,0.77099,5.8426,0.91647,0.00835,0.00835,0.00835
27,1937.3,0.69831,0.54532,0.9359,0.01238,0.1875,0.01199,0.01024,0.735,5.94452,0.92388,0.008284,0.008284,0.008284
28,2032.17,0.73995,0.53715,0.95571,0.01802,0.2663,0.02503,0.02241,0.70345,5.90157,0.91199,0.008218,0.008218,0.008218
29,2081.94,0.69252,0.52286,0.94578,0.02234,0.22826,0.02485,0.02181,0.76567,6.19604,0.92073,0.008152,0.008152,0.008152
30,2132.3,0.69902,0.52666,0.93178,0.00711,0.05435,0.0042,0.00333,0.75152,6.24579,0.91643,0.008086,0.008086,0.008086
31,2183.72,0.68368,0.50513,0.93477,0.00975,0.07065,0.00627,0.00513,0.68309,6.04781,0.90299,0.00802,0.00802,0.00802
32,2233.81,0.68671,0.50659,0.93721,0.00597,0.12228,0.00404,0.00339,0.70345,6.29393,0.90451,0.007954,0.007954,0.007954
