epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0661,1.482,3.66606,1.38805,0.00575,0.48234,0.00867,0.00541,0.95136,5.66462,1.11772,0.0706977,0.00325581,0.00325581
2,128.087,0.91801,1.09494,1.0966,0.00684,0.17935,0.00461,0.00311,0.83894,7.37425,1.0245,0.0406542,0.00654566,0.00654566
3,231.837,0.85579,0.97408,1.0424,0.01433,0.07337,0.02057,0.01723,1.12377,7.9492,1.20301,0.0105667,0.0097915,0.0097915
4,333.703,0.84312,0.88619,1.0334,0.01685,0.3587,0.02731,0.02368,0.84376,6.91861,0.99421,0.009802,0.009802,0.009802
5,434.799,0.81418,0.66106,1.01221,0.02314,0.47011,0.0285,0.0241,0.8798,5.87637,1.0208,0.009736,0.009736,0.009736
6,507.388,0.83532,0.58464,1.01064,0.01664,0.19565,0.01335,0.01033,0.89394,6.0589,0.98585,0.00967,0.00967,0.00967
7,587.547,0.77772,0.58007,0.98268,0.02002,0.30435,0.02527,0.02098,0.85714,6.03411,0.97388,0.009604,0.009604,0.009604
8,688.909,0.78652,0.54044,0.99337,0.02393,0.17935,0.01733,0.01453,0.7692,5.78552,0.95158,0.009538,0.009538,0.009538
9,790.197,0.75011,0.52382,0.98526,0.03583,0.27989,0.03535,0.03186,0.72218,6.07055,0.95904,0.009472,0.009472,0.009472
10,893.364,0.74542,0.48801,0.96606,0.02436,0.19022,0.01933,0.01688,0.807,6.22742,0.96305,0.009406,0.009406,0.009406
11,997.417,0.7652,0.49925,0.97793,0.02177,0.13587,0.01603,0.0141,0.80182,6.49176,0.95075,0.00934,0.00934,0.00934
12,1101.56,0.74223,0.47705,0.96397,0.02107,0.15217,0.01617,0.0142,0.78102,6.21349,0.94712,0.009274,0.009274,0.009274
13,1209.14,0.73014,0.46703,0.94654,0.02292,0.14674,0.01773,0.01565,0.71885,6.15351,0.94183,0.009208,0.009208,0.009208
14,1277.9,0.69751,0.46534,0.9483,0.03367,0.1875,0.02836,0.0254,0.75436,6.30431,0.94257,0.009142,0.009142,0.009142
