epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2203,1.16968,3.89994,1.04029,0.00358,0.25815,0.05641,0.02384,0.83991,3.85106,0.89287,0.0021,0.0021,0.0811
1,35.0458,1.16361,4.02467,1.0791,0.00327,0.25,0.04754,0.02772,0.80886,3.66814,0.90088,0.0811,0.0021,0.0021
2,64.8351,0.84358,1.90047,0.88177,0.00536,0.42391,0.13552,0.10751,0.84438,3.62356,0.88272,0.0612149,0.00421486,0.00421486
3,93.6041,0.84169,1.17867,0.87893,0.00484,0.36141,0.07432,0.06424,0.7562,3.62024,0.86425,0.0412426,0.0062426,0.0062426
4,122.604,0.84232,1.03855,0.88667,0.00643,0.44022,0.04977,0.04369,0.81275,3.60823,0.87565,0.0211832,0.00818322,0.00818322
5,151.598,0.84948,1.01487,0.891,0.00828,0.54891,0.07055,0.05814,0.76671,3.59356,0.89031,0.009208,0.009208,0.009208
6,181.384,0.83125,0.9218,0.88772,0.00599,0.43071,0.02954,0.02428,0.80244,4.08789,0.88128,0.00901,0.00901,0.00901
7,210.412,0.76754,0.85301,0.87769,0.00712,0.52174,0.02546,0.02015,0.83503,4.69203,0.88971,0.008812,0.008812,0.008812
8,239.738,0.72241,0.79125,0.8601,0.00826,0.58967,0.01726,0.01042,0.86052,5.03171,0.91396,0.008614,0.008614,0.008614
9,268.164,0.72979,0.7361,0.86587,0.00667,0.47554,0.01322,0.00936,0.78426,5.4314,0.88161,0.008416,0.008416,0.008416
10,296.895,0.69445,0.71347,0.86002,0.00839,0.5788,0.02104,0.01642,0.76856,5.33364,0.87937,0.008218,0.008218,0.008218
11,326.265,0.67456,0.66528,0.85332,0.00877,0.59783,0.04428,0.03686,0.74485,5.24421,0.87063,0.00802,0.00802,0.00802
12,354.753,0.66714,0.62354,0.85431,0.00724,0.55978,0.04439,0.03595,0.72475,5.58203,0.87676,0.007822,0.007822,0.007822
13,383.734,0.64628,0.60972,0.8509,0.00654,0.49185,0.01071,0.00803,0.7444,5.47747,0.88269,0.007624,0.007624,0.007624
14,413.315,0.61746,0.58679,0.84415,0.00546,0.42391,0.00903,0.00598,0.73705,5.44135,0.86869,0.007426,0.007426,0.007426
15,443.122,0.59857,0.56255,0.84071,0.00741,0.54891,0.03806,0.03083,0.66973,5.51465,0.86585,0.007228,0.007228,0.007228
16,472.574,0.60154,0.54986,0.83869,0.00743,0.54348,0.01855,0.01531,0.64618,5.47654,0.86911,0.00703,0.00703,0.00703
17,502.256,0.59126,0.53096,0.8335,0.00773,0.58152,0.05465,0.0462,0.68707,5.35431,0.86956,0.006832,0.006832,0.006832
18,531.974,0.5664,0.49856,0.8278,0.0077,0.5625,0.03717,0.02879,0.70018,5.65356,0.86962,0.006634,0.006634,0.006634
19,561.361,0.56255,0.49643,0.82851,0.00759,0.55163,0.02523,0.01799,0.65854,5.53834,0.86485,0.006436,0.006436,0.006436
20,593.07,0.54447,0.47884,0.81764,0.00777,0.52174,0.0206,0.01701,0.64554,5.59331,0.85885,0.006238,0.006238,0.006238
21,622.986,0.53247,0.46345,0.82432,0.00654,0.375,0.01588,0.01286,0.64876,5.49377,0.85753,0.00604,0.00604,0.00604
22,651.556,0.52573,0.45751,0.8239,0.01013,0.52174,0.03184,0.026,0.66017,5.7959,0.85764,0.005842,0.005842,0.005842
23,679.967,0.51941,0.45365,0.82771,0.00935,0.42391,0.02719,0.0243,0.65295,5.66318,0.8543,0.005644,0.005644,0.005644
24,710.033,0.50733,0.4318,0.82026,0.01166,0.4212,0.02905,0.02552,0.64433,5.84126,0.84956,0.005446,0.005446,0.005446
25,740.876,0.50791,0.42963,0.82656,0.01188,0.42391,0.01788,0.01558,0.64816,6.02505,0.84431,0.005248,0.005248,0.005248
26,771.745,0.50552,0.42048,0.81625,0.02114,0.54076,0.03768,0.0334,0.62183,5.71079,0.84145,0.00505,0.00505,0.00505
27,800.173,0.48374,0.41745,0.81373,0.02554,0.54076,0.06303,0.05722,0.59041,5.70834,0.83963,0.004852,0.004852,0.004852
28,828.362,0.48078,0.41122,0.81922,0.02421,0.44837,0.03391,0.0308,0.59663,5.91156,0.84222,0.004654,0.004654,0.004654
29,856.778,0.46966,0.39443,0.80236,0.0276,0.44565,0.03444,0.03028,0.59508,5.94289,0.83633,0.004456,0.004456,0.004456
30,884.974,0.46017,0.39199,0.80822,0.02464,0.38043,0.03331,0.02887,0.60671,5.99045,0.83925,0.004258,0.004258,0.004258
31,913.137,0.45906,0.38718,0.81136,0.03129,0.42663,0.03149,0.02741,0.59234,6.26482,0.83679,0.00406,0.00406,0.00406
32,941.848,0.44967,0.38204,0.80662,0.02435,0.29891,0.0269,0.02173,0.58225,5.87875,0.84015,0.003862,0.003862,0.003862
33,970.243,0.44115,0.37889,0.81096,0.04092,0.45109,0.04562,0.03989,0.59977,6.01594,0.83668,0.003664,0.003664,0.003664
34,998.685,0.42691,0.36368,0.80991,0.04901,0.42663,0.06556,0.05928,0.56109,6.0562,0.83475,0.003466,0.003466,0.003466
35,1026.58,0.44111,0.36595,0.80776,0.03704,0.35054,0.05072,0.0445,0.59362,6.06179,0.8356,0.003268,0.003268,0.003268
36,1055.09,0.42731,0.35945,0.80291,0.03686,0.3288,0.03168,0.02762,0.56734,6.03429,0.83483,0.00307,0.00307,0.00307
37,1082.67,0.4094,0.35,0.80082,0.04398,0.31793,0.03639,0.03342,0.56608,5.95186,0.8305,0.002872,0.002872,0.002872
38,1111.06,0.41131,0.34558,0.80252,0.04885,0.36141,0.05198,0.04714,0.567,5.96039,0.82977,0.002674,0.002674,0.002674
39,1139.88,0.39766,0.34071,0.8041,0.04847,0.33967,0.05525,0.04882,0.56947,6.0586,0.83086,0.002476,0.002476,0.002476
40,1169.46,0.39432,0.33662,0.80691,0.04053,0.25,0.03044,0.02663,0.5586,6.02964,0.83065,0.002278,0.002278,0.002278
41,1199.43,0.38104,0.32292,0.79626,0.04243,0.25,0.03184,0.02766,0.54853,6.12719,0.83109,0.00208,0.00208,0.00208
42,1228.84,0.37635,0.32047,0.79321,0.05205,0.34239,0.05152,0.04647,0.53777,6.25504,0.82621,0.001882,0.001882,0.001882
43,1257.4,0.38818,0.32238,0.79166,0.06031,0.35054,0.06475,0.05877,0.55116,6.25975,0.82722,0.001684,0.001684,0.001684
44,1286.38,0.37016,0.31517,0.78484,0.06513,0.32337,0.06057,0.05471,0.54667,6.34737,0.82357,0.001486,0.001486,0.001486
45,1315.63,0.36721,0.31334,0.79669,0.06565,0.33424,0.05954,0.05424,0.54378,6.36473,0.8228,0.001288,0.001288,0.001288
46,1343.81,0.35843,0.30417,0.78669,0.06793,0.32065,0.05404,0.04798,0.5452,6.2935,0.82284,0.00109,0.00109,0.00109
47,1372.8,0.36098,0.30842,0.79701,0.05437,0.28261,0.04176,0.03636,0.53224,6.32055,0.82295,0.000892,0.000892,0.000892
48,1402.13,0.35853,0.29914,0.79043,0.06519,0.32337,0.05216,0.04703,0.52382,6.31541,0.82215,0.000694,0.000694,0.000694
49,1431.59,0.35082,0.29912,0.79454,0.06952,0.32609,0.05734,0.05161,0.52775,6.30166,0.82159,0.000496,0.000496,0.000496
50,1461.73,0.34882,0.29316,0.7972,0.07122,0.33967,0.06083,0.05461,0.52553,6.39094,0.82051,0.000298,0.000298,0.000298
